,"p, атм","T, K",t_exp,Δt_exp,t_calc,dT:Aramco13,dT:Aramco20,dT:Aramco30,dT:GriMech12,dT:GriMech30,dT:NUImech,dT:RAMEC,dT:Slavinskaya,dT:USCC1C3,dT:ZhukovC1C4,dT:ZhukovC1C7,dT:ZhukovKongCH4,OH:Aramco13,OH:Aramco20,OH:Aramco30,OH:GriMech12,OH:GriMech30,OH:NUImech,OH:RAMEC,OH:Slavinskaya,OH:USCC1C3,OH:ZhukovC1C4,OH:ZhukovC1C7,OH:ZhukovKongCH4
43,25.7,1504.0,101.0,4.0,63.0,118.30364769196159,121.08803235981051,122.22201011386673,84.60827070403884,62.9986662927427,110.16393195939855,84.56960954241093,140.95777538702973,72.98571722894216,86.61308263786715,86.61275991608527,90.11741965114466,119.35328617990177,122.13316585730743,123.27811952235481,85.79715925786887,64.01483390029054,111.10388891768139,85.79681592654211,141.34455932919255,74.00615524195193,87.85144435868699,87.85128415898002,90.63907050450429
44,30.0,1476.0,108.0,5.0,70.0,137.2412568993792,139.5335860739556,141.09434691173007,97.0473014112079,69.91486509661806,127.28187022339348,96.09938141688423,167.5119238746345,81.82262581402443,98.40938324226208,98.40999867618795,101.39361963346086,138.23445534039539,140.51964969712435,142.08940008570656,98.16142796370386,70.94540328432845,128.17877333688634,97.28710607232574,167.87696594840307,82.85789094581904,99.59911327647013,99.60229219006315,101.92078850941293
45,38.0,1380.0,179.0,4.0,135.0,304.77027897093967,301.61159595264934,306.9173956424412,202.7349013523101,134.7375651277831,277.8755418445305,193.13219020678721,373.43744488269107,161.77880847023243,197.34382140737583,197.34430804577846,198.8211902040716,305.89937947235774,302.7347653072385,308.04182231704635,203.99974545970875,136.19512909070218,278.9277951603527,194.5367773717083,373.89354904717453,163.2207399375086,198.7430857105218,198.73400649974798,508.01072662780985
46,43.0,1369.0,119.0,4.0,133.0,306.36666092377357,301.6579280339558,307.1910300484974,204.44718345672828,133.7829839625516,277.68234615763794,192.91439181241182,383.17950462724696,161.32901992272653,197.03304613607574,197.03423148198593,198.11662103659603,307.4664863580955,302.74849950597127,308.2861640747821,205.6845236473604,135.30262500216165,278.7066844066733,194.3053875499762,384.2836831675391,162.81728945899314,198.4084983785386,198.4157450180857,503.0612342717224
47,49.0,1564.0,30.0,2.0,22.0,39.16136176070872,40.19714555315387,40.3774636659998,30.156499055779495,22.44680845139987,35.92788705740246,30.353048306583453,52.86475661756906,26.027281244134112,31.208227955318485,31.208095275776678,32.47057913082145,39.713261415419296,40.741073659566425,40.92291176371364,30.807087545843945,23.09068326929956,36.41751436318494,31.068439265643935,53.08042729396977,26.673501323891607,31.924327440338185,31.924370835563906,32.780411641572165
48,50.0,1463.0,84.0,2.0,50.0,100.58782821033702,101.10835160333163,102.28663634168973,72.83504877585473,49.93323531606584,92.04813212748851,71.21559101047099,135.66301309297185,59.251500276074665,72.9872831857596,72.98681672989277,74.457521217554,101.34061927993285,101.853087885616,103.0306883399668,73.70331185920918,50.97625122163952,92.74335199760843,72.19370156790788,135.96658795421268,60.28039655533029,73.95628055156317,73.95438818515943,504.98748592437573
49,50.0,1432.0,97.0,7.0,65.0,137.56320974087376,137.25037645444758,139.1537640916004,97.49335888093734,65.37109440793176,125.49168544745187,94.21824854136568,183.64033512269108,78.0733623452832,96.44576898658751,96.44640112015476,97.87133068025352,138.3959869580224,138.07258967654815,139.97950331090266,98.44796207936601,66.55397310886762,126.26214543578907,95.29383614527731,183.98842748715347,79.23648487501643,97.51704879661267,97.52034017170921,516.0868000654347
50,131.0,1507.0,14.0,2.0,15.0,27.78046791004443,27.820435154167757,28.004734947267266,22.734982088534696,15.386393502869426,25.190418110983455,22.090567519501885,46.290044493777714,18.220837369070917,22.551505812889474,22.551950616933667,23.073995621960094,28.265185860277192,28.324763013598414,28.481600102213218,23.34467994466695,17.224358050256917,25.641437290448962,22.775182401641306,58.09338504717832,20.064103367146448,23.23031801197088,23.236313811070733,502.12579206079334
51,151.0,1333.0,89.0,2.0,63.0,122.36707605871733,118.36862010703732,120.94051604521373,103.50273105036797,62.878441034295854,107.83221202851676,86.53402554617331,207.023115568364,76.3284876420893,87.27649489039234,87.27566710109211,88.25082152442798,123.35516033655202,119.4661467610052,121.92394555026512,104.67146636566677,65.87954484138835,108.71257682503071,87.85719701513395,226.24420174891117,79.29032940705889,88.58988222308419,88.5945668504172,502.7654438927512
52,156.0,1209.0,172.0,2.0,239.0,341.917838727631,330.1475494554704,341.6131031689626,377.03251144851254,239.07422513073303,300.39822386404853,259.5586325111231,500.55921442390627,291.44946582775674,260.1282965953596,260.1311004317873,263.8517098692468,343.80099395439584,331.38319142312986,342.73117937604917,379.10874192069105,243.45923132655534,301.9526706761578,261.91304585083896,501.20144931558514,295.7228826590361,262.48200660031523,262.4828974519186,501.5438028074243
53,174.0,1264.0,99.0,2.0,114.0,189.88768963021403,182.77897815716938,188.20826831368396,187.7300813962835,114.45184964785561,166.38683685376745,139.47411316898152,340.6554046639197,139.3206237943313,139.9454446893692,139.9469381337978,141.68524744343603,191.30549347460894,184.47248935806834,189.64197218196378,189.3447534283698,119.44524362915836,167.59651086361086,141.2878433117351,379.3963735190007,144.27598672109482,141.7492961367472,141.76447937620404,502.0527215449907
54,451.0,1239.0,63.0,6.0,66.0,65.45971481112204,64.0499140561854,66.28566183744638,107.26141372620872,66.56722277637606,61.669495140563,68.00417236185639,150.18290250724266,80.1548639175366,67.68911386007835,67.68994634566748,69.20034330261699,67.68975697182604,510.14169538436823,68.71087960795164,141.08674101988868,73.35392920014073,63.36797836196412,510.26378682569333,160.8188798627879,388.39561586409377,517.0038413672837,506.7299366672928,501.9438106561426
55,477.0,1379.0,22.0,3.0,15.0,21.041060356411602,20.597964884252505,21.01097998958072,24.864573550905423,15.21194050437331,19.20398611774275,19.478816538279144,48.54918909553891,18.152793946108982,19.453739757961603,19.45320932690997,19.73957381774528,21.996124809660035,502.5068022483757,22.011693660433934,37.39583762785627,18.872613796315573,19.996104401996107,62.002581893326244,60.69635932772623,134.49937644429696,515.7465974959015,504.4838028477636,504.50779758757665
